Entity,Code,Year,2_1_GDPPC_Growth
abc,SYR,2012,-398.652
abc,SYR,2013,-290.777
abc,SYR,2014,-59.6693
abc,SYR,2015,5.91553
abc,SYR,2016,-25.2621
abc,SYR,2017,12.6577
abc,SYR,2018,21.4884
abc,SYR,2019,27.6428
abc,TUR,1961,-31.8281
abc,TUR,1962,75.8186
abc,TUR,1963,165.639
abc,TUR,1964,80.8501
abc,TUR,1965,11.3203
abc,TUR,1966,241.847
abc,TUR,1967,69.6189
abc,TUR,1968,133.614
abc,TUR,1969,53.3884
abc,TUR,1970,26.5996
abc,TUR,1971,102.479
abc,TUR,1972,167.861
abc,TUR,1973,29.6975
abc,TUR,1974,113.581
abc,TUR,1975,176.229
abc,TUR,1976,312.289
abc,TUR,1977,46.4395
abc,TUR,1978,-31.9912
abc,TUR,1979,-120.333
abc,TUR,1980,-191.164
abc,TUR,1981,98.4177
abc,TUR,1982,49.6855
abc,TUR,1983,107.721
abc,TUR,1984,184.849
abc,TUR,1985,91.0552
abc,TUR,1986,218.689
abc,TUR,1987,347.31
abc,TUR,1988,22.5649
abc,TUR,1989,-75.2349
abc,TUR,1990,368.167
abc,TUR,1991,-51.7949
abc,TUR,1992,176.284
abc,TUR,1993,325.025
abc,TUR,1994,-358.467
abc,TUR,1995,336.4
abc,TUR,1996,328.825
abc,TUR,1997,359.705
abc,TUR,1998,52.1587
abc,TUR,1999,-309.878
abc,TUR,2000,330.667
abc,TUR,2001,-467.736
abc,TUR,2002,297.136
abc,TUR,2003,271.014
abc,TUR,2004,550.536
abc,TUR,2005,543.896
abc,TUR,2006,434.958
abc,TUR,2007,310.43
abc,TUR,2008,-32.4863
abc,TUR,2009,-509.448
abc,TUR,2010,549.558
abc,TUR,2011,807.549
abc,TUR,2012,287.632
abc,TUR,2013,638.946
abc,TUR,2014,323.96
abc,TUR,2015,456.604
abc,TUR,2016,180.774
abc,TUR,2017,648.207
abc,TUR,2018,171.555
abc,TUR,2019,-51.3818
abc,TUR,2020,83.1943
abc,TKM,1988,221.774
abc,TKM,1989,-194.802
abc,TKM,1990,860.538
abc,TKM,1991,-258.852
abc,TKM,1992,-575.162
abc,TKM,1993,-35.7573
abc,TKM,1994,-523.437
abc,TKM,1995,-201.104
