Entity,Code,Year,5_0_BattleDeath
1331,RUS,2008,410
1332,RUS,2009,697
1333,RUS,2010,481
1334,RUS,2011,396
1335,RUS,2012,525
1336,RUS,2013,365
1337,RUS,2014,176
1338,RUS,2015,86
1339,RUS,2016,78
1340,RUS,2017,53
1341,RUS,2018,38
1342,RUS,2019,26
1343,RUS,2020,33
1344,RUS,2021,2
1345,RWA,1990,2644
1346,RWA,1991,1102
1347,RWA,1992,644
1348,RWA,1993,960
1349,RWA,1994,541444
1350,RWA,1995,4147
1351,RWA,1996,320
1352,RWA,1997,4706
1353,RWA,1998,1740
1354,RWA,1999,29
1355,RWA,2001,2044
1356,RWA,2004,16
1357,RWA,2009,2
1358,RWA,2011,0
1359,RWA,2012,13
1360,RWA,2013,4
1361,RWA,2016,27
1362,RWA,2017,10
1363,RWA,2018,6
1364,RWA,2019,19
1365,SAU,1991,91
1366,SAU,2003,26
1367,SAU,2004,91
1368,SAU,2005,31
1369,SAU,2006,11
1370,SAU,2007,2
1371,SAU,2015,110
1372,SAU,2016,125
1373,SAU,2017,45
1374,SAU,2018,11
1375,SAU,2019,3
1376,SAU,2020,0
1377,SAU,2021,6
1378,SDN,1989,7515
1379,SDN,1990,5335
1380,SDN,1991,4566
1381,SDN,1992,4314
1382,SDN,1993,6042
1383,SDN,1994,960
1384,SDN,1995,1494
1385,SDN,1996,2735
1386,SDN,1997,4872
1387,SDN,1998,5958
1388,SDN,1999,2067
1389,SDN,2000,3537
1390,SDN,2001,3719
1391,SDN,2002,3227
1392,SDN,2003,5010
1393,SDN,2004,9714
1394,SDN,2005,1505
1395,SDN,2006,2187
1396,SDN,2007,1180
1397,SDN,2008,1241
1398,SDN,2009,2689
1399,SDN,2010,1790
1400,SDN,2011,2567
1401,SDN,2012,1525
1402,SDN,2013,1959
1403,SDN,2014,1912
1404,SDN,2015,2552
1405,SDN,2016,1994
1406,SDN,2017,548
1407,SDN,2018,432
1408,SDN,2019,435
1409,SDN,2020,606
1410,SDN,2021,860
1411,SEN,1989,121
1412,SEN,1990,84
1413,SEN,1991,16
1414,SEN,1992,135
1415,SEN,1993,285
1416,SEN,1995,329
1417,SEN,1996,5
1418,SEN,1997,366
1419,SEN,1998,343
1420,SEN,1999,31
1421,SEN,2000,56
1422,SEN,2001,47
1423,SEN,2002,45
1424,SEN,2003,39
1425,SEN,2004,3
1426,SEN,2005,46
1427,SEN,2006,126
1428,SEN,2008,11
1429,SEN,2009,19
1430,SEN,2010,19
1431,SEN,2011,37
1432,SEN,2012,23
1433,SEN,2013,8
1434,SEN,2018,1
1435,SEN,2020,0
1436,SEN,2021,0
1437,SLB,1992,2
1438,SLE,1991,1225
1439,SLE,1992,531
1440,SLE,1993,642
1441,SLE,1994,2097
1442,SLE,1995,3194
1443,SLE,1996,943
1444,SLE,1997,1233
1445,SLE,1998,5155
1446,SLE,1999,4493
1447,SLE,2000,856
1448,SLE,2001,73
1449,SLE,2002,1
1450,SLV,1989,4924
1451,SLV,1990,849
1452,SLV,1991,88
1453,SLV,1992,4
1454,SOM,1989,1061
1455,SOM,1990,2700
1456,SOM,1991,8455
1457,SOM,1992,4729
1458,SOM,1993,483
1459,SOM,1994,626
1460,SOM,1995,444
1461,SOM,1996,949
1462,SOM,1997,277
1463,SOM,1998,330
1464,SOM,1999,542
1465,SOM,2000,185
1466,SOM,2001,483
1467,SOM,2002,638
1468,SOM,2003,405
