Entity,Code,Year,GDP per capita growth (annual %)
South Korea,KOR,1981,5.585902690887451
South Korea,KOR,1982,6.676619052886963
South Korea,KOR,1983,11.717020988464355
South Korea,KOR,1984,9.195796012878418
South Korea,KOR,1985,6.782329559326172
South Korea,KOR,1986,10.22535228729248
South Korea,KOR,1987,11.61866569519043
South Korea,KOR,1988,10.89649486541748
South Korea,KOR,1989,6.0190629959106445
South Korea,KOR,1990,8.800429344177246
South Korea,KOR,1991,9.686999320983887
South Korea,KOR,1992,5.1007819175720215
South Korea,KOR,1993,5.797285556793213
South Korea,KOR,1994,8.174763679504395
South Korea,KOR,1995,8.517152786254883
South Korea,KOR,1996,6.867624282836914
South Korea,KOR,1997,5.179629802703857
South Korea,KOR,1998,-5.811819553375244
South Korea,KOR,1999,10.677450180053711
South Korea,KOR,2000,8.152689933776855
South Korea,KOR,2001,4.051006317138672
South Korea,KOR,2002,7.10433292388916
South Korea,KOR,2003,2.614039897918701
South Korea,KOR,2004,4.781286239624023
South Korea,KOR,2005,4.087645053863525
South Korea,KOR,2006,4.71292781829834
South Korea,KOR,2007,5.266361236572266
South Korea,KOR,2008,2.2337522506713867
South Korea,KOR,2009,0.2752689719200134
